nan,病情,医生,康复,情况,过程,描述,看病,手术,主任,治疗,恢复,术后,非常,耐心,医院,检查,病人,我们,感谢,教授
病情,21121,511,14,615,52,18723,6,195,242,645,822,20,184,109,16,75,75,20,149,59
医生,511,12748,9,271,2627,201,37,273,62,200,65,48,420,699,145,147,90,65,524,30
康复,14,9,18857,18358,4,0,0,15,2,27,3,61,4,0,22,1,8,1,4,1
情况,615,271,18358,19674,5,0,16,1239,137,250,961,1997,189,23,16,44,99,42,65,30
过程,52,2627,4,5,19887,3,19367,608,1206,113,35,75,151,150,130,264,35,99,121,287
描述,18723,201,0,0,3,19573,17,115,82,28,16,78,23,13,13,82,37,35,29,24
看病,6,37,0,16,19367,17,19685,4,30,15,13,0,11,10,13,8,3,3,4,10
手术,195,273,15,1239,608,115,4,12986,206,943,294,294,291,38,66,112,41,55,30,101
主任,242,62,2,137,1206,82,30,206,6525,79,27,16,156,211,59,38,52,62,424,21
治疗,645,200,27,250,113,28,15,943,79,6690,48,71,28,34,63,52,13,24,30,46
恢复,822,65,3,961,35,16,13,294,27,48,6331,1172,180,2,8,13,39,12,124,4
术后,20,48,61,1997,75,78,0,294,16,71,1172,5764,38,38,11,19,32,11,2,2
非常,184,420,4,189,151,23,11,291,156,28,180,38,4529,502,5,19,66,19,33,29
耐心,109,699,0,23,150,13,10,38,211,34,2,38,502,5189,1,43,204,71,18,42
医院,16,145,22,16,130,13,13,66,59,63,8,11,5,1,3768,257,6,16,6,15
检查,75,147,1,44,264,82,8,112,38,52,13,19,19,43,257,4078,9,15,3,9
病人,75,90,8,99,35,37,3,41,52,13,39,32,66,204,6,9,3263,57,6,19
我们,20,65,1,42,99,35,3,55,62,24,12,11,19,71,16,15,57,2392,6,8
感谢,149,524,4,65,121,29,4,30,424,30,124,2,33,18,6,3,6,6,3412,159
教授,59,30,1,30,287,24,10,101,21,46,4,2,29,42,15,9,19,8,159,2117
